债券代码,交易日期,spread
7103,201612,1.853778986
7103,201705,1.17006733
7103,201712,0.920143068
7103,201910,1.859859017
7103,201911,1.945886692
7103,201912,2.073139188
7103,202001,2.205260399
7103,202002,2.400776029
7103,202003,2.787838857
7103,202004,3.345592465
7103,202005,2.87930948
7103,202006,2.472558513
7103,202007,2.274200957
7103,202008,1.968694837
7103,202009,1.970010693
7103,202010,1.89433659
7103,202011,1.78942162
7103,202012,2.094292893
7103,202101,1.946397968
7103,202102,2.001733291
7103,202103,2.044751017
7103,202104,2.248823594
7103,202105,2.217818474
7103,202106,2.183313168
7103,202107,2.537226063
7103,202108,2.421167682
7103,202109,2.430800523
7103,202110,2.425913017
7103,202111,2.472730655
7103,202112,2.516314054
38006,201612,1.371404993
38006,201705,0.89941778
38006,201712,0.66839947
38006,201910,1.324125548
38006,201911,1.45772149
38006,201912,1.495942022
38006,202001,1.647650634
38006,202002,1.842494528
38006,202003,1.997828385
38006,202004,1.988617355
38006,202005,1.853552326
38006,202006,1.766327364
38006,202007,1.631966547
38006,202008,1.593283788
38006,202009,1.475422114
38006,202010,1.454917515
38006,202011,1.425960622
38006,202012,1.54767738
38006,202101,1.523172457
38006,202102,1.433520573
38006,202103,1.531769263
38006,202104,1.562979076
38006,202105,1.702790129
38006,202106,1.652466664
38006,202107,1.894229114
38006,202108,1.88232797
38006,202109,1.853518982
38006,202110,1.771394662
38006,202111,1.937989098
38006,202112,2.011786324
38008,201301,1.323099595
38008,201302,1.320953573
38008,201303,1.303089395
38008,201304,1.157637499
38008,201305,1.067916564
38008,201307,0.284932606
58035,200808,1.396576823
58035,200809,1.879140835
58035,200810,2.547726528
58035,200811,2.840085976
58035,200812,3.360110535
58035,200901,2.851790433
58035,200902,2.81218817
58035,200904,2.787865598
58035,200905,2.892985176
58035,200906,2.807365035
58035,200907,2.420329529
58035,200908,2.449267544
58035,200909,2.400383469
58035,200910,2.38888709
58035,200911,1.574603662
58035,200912,1.66037486
58035,201001,1.626508561
58035,201002,1.861495623
58035,201003,1.856292145
58035,201004,2.036888004
58035,201005,2.205942603
58035,201006,2.138108142
58035,201007,2.113978504
58035,201008,2.170434548
58035,201009,2.058903375
58035,201010,1.656277562
58035,201011,1.131047486
58035,201012,1.313495967
58035,201101,1.262630439
58035,201102,1.294652775
58035,201103,1.369160897
58035,201104,1.669623632
58035,201105,1.722095301
58035,201106,1.590569687
58035,201107,1.342248694
58035,201108,1.12563401
58035,201109,1.409310123
58035,201110,1.566919044
58035,201111,1.862974579
58035,201112,2.184475177
58035,201201,2.172973743
58035,201202,2.063306217
58035,201203,2.147762246
58035,201204,2.124966692
58035,201205,2.641035621
58035,201206,1.441958624
58035,201207,1.383402577
58035,201208,1.004724665
58035,201209,0.906752124
58035,201210,0.929831445
58035,201211,0.913281739
58035,201212,0.860850084
58035,201301,0.830819311
58035,201302,0.81212788
58035,201303,0.819210476
58035,201304,0.901727483
58035,201305,0.792086471
58035,201306,0.673257801
58035,201307,0.262617406
58035,201402,0.069012567
58035,201403,0.159284727
68026,201112,1.970884891
68026,201201,1.97853449
68026,201202,1.874078767
68026,201203,1.943651931
68026,201204,1.930352153
68026,201205,2.385876434
68026,201206,2.439445664
68026,201207,2.473520458
68026,201208,2.108804864
68026,201209,2.035556264
68026,201210,2.056367049
68026,201211,1.496708775
68026,201212,1.49688307
68026,201301,1.479015486
68026,201302,1.49127819
68026,201303,1.536054235
68026,201304,1.689048141
68026,201305,1.626323599
68026,201306,1.510703602
68026,201307,1.167724195
68026,201308,0.892243981
68026,201309,0.963245252
68026,201310,0.777692669
68026,201311,0.565929315
68026,201312,0.434797122
68026,201401,0.953351629
68026,201402,1.264532641
68026,201403,1.436210582
68026,201404,1.188560101
68026,201405,1.293151139
68026,201406,1.401703593
68026,201407,1.182401051
68026,201408,1.187630502
68026,201409,1.32577037
68026,201410,1.792549791
68026,201411,2.139876483
68026,201412,2.008817755
68026,201501,2.259270524
68026,201502,2.402517481
68026,201503,2.312037095
68026,201504,2.963553939
68026,201505,3.860219042
68026,201507,3.836133809
68026,201508,4.010747028
68026,201509,4.214186725
68026,201510,4.486085991
68026,201511,4.74236468
68026,201512,5.69652132
68026,201601,6.612262676
68026,201602,8.373400428
68026,201603,11.77456055
68026,201604,21.05828253
68039,200807,1.520287647
68039,200808,1.776460223
68039,200809,2.285809286
68039,200810,2.944617319
68039,200811,3.193459374
68039,200812,3.492501069
68039,200901,3.021700331
68039,200902,1.481132932
68039,200903,1.442669752
68039,200904,1.483468027
68039,200905,1.571840713
68039,200906,0.96604287
68039,200907,1.177697957
68039,201308,1.458864262
68039,201309,1.547935531
68039,201310,1.353746874
68039,201311,1.134074718
68039,201401,0.369660337
68039,201402,2.361838973
68039,201403,2.480575057
68039,201404,2.338540895
68039,201405,1.572827292
68039,201406,1.474281304
68039,201407,1.258977034
68039,201408,1.272559517
68039,201409,1.412708899
68039,201410,1.863401924
68039,201411,2.150488661
68039,201412,2.037828585
68039,201501,2.248313841
68039,201502,2.365225713
68039,201503,2.232449837
68039,201504,2.777368833
68039,201505,3.576321313
68039,201506,3.893054723
68039,201507,3.547064689
68039,201508,3.68558592
68039,201509,3.696839117
68039,201510,3.865315627
68039,201511,3.802876663
68039,201512,4.287609965
68039,201601,4.481288177
68039,201602,4.942953153
68039,201603,5.534917209
68039,201604,5.977240618
68039,201605,6.987761482
68039,201606,8.557027556
68039,201607,11.59500291
68039,201608,22.0054347
78009,200807,0.106445136
78009,200808,0.330631485
78009,200809,0.826285795
78009,200810,1.471989208
78009,200811,1.669043036
78009,200812,2.068260104
78009,200901,1.621763907
78009,200902,1.177816024
78009,200903,1.221445625
78009,200904,1.221554027
78009,200905,1.269498542
78009,200906,1.227046349
78009,200907,0.872801463
78009,200908,0.971150154
78009,200909,0.822690416
78009,200910,0.646206907
78009,200911,0.893008283
78009,200912,1.690755158
78009,201001,1.719530914
78009,201002,1.881215546
78009,201003,1.959191129
78009,201004,2.040231572
78009,201005,2.178667126
78009,201006,2.18618367
78009,201007,2.205443547
78009,201008,2.2636553
78009,201009,2.131886563
78009,201010,1.674687444
78009,201011,1.295013554
78009,201012,1.462288672
78009,201101,1.14258184
78009,201102,1.164408053
78009,201103,1.308265198
78009,201104,1.350283925
78009,201105,1.394609346
78009,201106,1.367072728
78009,201107,1.161752997
78009,201108,1.003472632
78009,201109,1.264334469
78009,201110,1.432076093
78009,201111,1.686102121
78009,201112,1.960914403
78009,201201,1.981976732
78009,201202,1.876591056
78009,201203,1.983420337
78009,201204,1.979555793
78009,201205,2.364307719
78009,201206,1.321746506
78009,201207,1.385807894
78009,201208,1.113867966
78009,201209,1.031728675
78009,201210,0.989324711
78009,201211,0.989832104
78009,201212,1.029253857
78009,201301,0.952613358
78009,201302,0.908216249
78009,201303,0.926276796
78009,201304,1.081450036
78009,201305,1.055858292
78009,201306,0.901259837
78009,201307,0.589698274
78009,201308,0.313673474
78009,201309,0.367539073
78009,201310,0.152457108
78009,201311,1.707460948
78009,201312,1.593722476
78009,201401,1.977416506
78009,201402,2.339543325
78009,201403,2.314798542
78009,201404,2.285430154
78009,201405,2.445401853
78009,201406,2.590482158
78009,201407,2.496520977
78009,201408,1.001375434
78009,201409,0.294400297
78009,201410,0.684207566
78009,201411,0.878198807
78009,201412,0.769830969
78009,201501,0.924087295
78009,201502,0.997678778
78009,201503,0.823370187
78009,201504,1.344980149
78009,201505,1.177111727
78009,201506,1.316361325
78009,201507,1.107384415
78009,201508,0.985267756
78009,201509,1.033271962
78009,201510,0.850064752
78009,201511,0.868988132
78009,201512,0.733826274
78009,201601,0.446189582
78009,201602,0.518055418
78009,201603,0.68771741
78009,201604,0.506556798
78009,201605,0.607742523
78009,201606,0.526359079
78009,201607,0.547290697
78009,201608,0.404708734
78009,201609,0.668966902
78009,201610,0.556054438
78009,201611,0.012211322
78009,201612,1.318255034
78009,201701,0.978942772
78009,201702,0.604562168
78009,201703,1.360377787
78009,201704,0.904603302
78010,201304,0.924946237
78010,201305,0.928274637
78010,201306,0.81953899
78010,201307,0.63535491
78010,201308,0.333497461
78010,201309,0.330847564
78010,201310,0.134263974
78010,201404,0.006039789
78010,201405,0.307268249
78010,201406,0.319984316
78010,201407,0.11846162
78010,201408,0.141425868
78010,201409,0.381773299
78010,201410,0.588656896
78010,201411,0.864752216
78010,201412,0.715409653
78010,201501,0.881478076
78010,201502,1.094957497
78010,201503,0.713778594
78010,201504,0.973023196
78010,201505,0.739667966
78010,201506,0.797980796
78010,201507,0.880551951
78010,201508,0.985293891
78010,201509,1.055683032
78010,201510,1.256842806
78010,201511,1.279219948
78010,201512,1.479392189
78010,201601,1.443758891
78010,201602,1.465629609
78010,201603,1.635217939
78010,201604,1.420882702
78010,201605,1.400403715
78010,201606,1.517244424
78010,201607,1.61874789
78010,201608,1.617793201
78010,201609,1.662027748
78010,201610,1.777645686
